save_path,cat_db_key,name,status,is_alive,parser_gender,ground_truth_gender,ground_truth_source,match
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,78,Apothelia,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,100,Briana,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,102,Calypso,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,77,Didou,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,84,Issy,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,94,Jimbob,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,66,Jorin,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,97,Katia,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,92,Mannie,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,101,Meeko,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,85,Midna,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,70,Mr. Olives,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,68,Nelson,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,93,Pretty Girl,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,76,Siegmeyer,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,91,Simba,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,72,Teca,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,89,Tito,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,96,Twerpy,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,71,Wes,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\21cats\21cats.sav,98,Zinc,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,798,Duan,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,802,Hallstein,In House,1,male,male,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,800,Judith,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,803,Krzysztof,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,769,Mr. Dude,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,770,Rattist,In House,1,female,female,screenshot,1
d:\google drive\coding\mewgenicsbreedingmanager\tools\saves\7cats\7 cats.sav,804,Senna Wizwiz,In House,1,female,female,screenshot,1
